Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Vadodra,Junction,Four arm Junction,Total number of Accidents,17,50
Vadodra,Junction,Others,Greviously Injured,226,45
Vadodra,Junction,Others,Minor Injury,163,75
Vadodra,Junction,Others,Persons Killed,150,21
Vadodra,Junction,Others,Total Injured,389,27
Vadodra,Junction,Others,Total number of Accidents,455,35
Vadodra,Junction,Round about Junction,Greviously Injured,3,78
Vadodra,Junction,Round about Junction,Minor Injury,0,23
Vadodra,Junction,Round about Junction,Persons Killed,0,19
Vadodra,Junction,Round about Junction,Total Injured,3,33
Vadodra,Junction,Round about Junction,Total number of Accidents,2,73
Vadodra,Junction,Staggered Junction,Greviously Injured,0,45
Vadodra,Junction,Staggered Junction,Minor Injury,0,14
Vadodra,Junction,Staggered Junction,Persons Killed,0,71
Vadodra,Junction,Staggered Junction,Total Injured,0,62
Vadodra,Junction,Staggered Junction,Total number of Accidents,0,68
Vadodra,Junction,T,Greviously Injured,3,13
Vadodra,Junction,T,Minor Injury,0,45
Vadodra,Junction,T,Persons Killed,1,13
Vadodra,Junction,T,Total Injured,3,77
Vadodra,Junction,T,Total number of Accidents,7,85
Vadodra,Junction,Y,Greviously Injured,0,67
Vadodra,Junction,Y,Minor Injury,0,17
Vadodra,Junction,Y,Persons Killed,0,46
Vadodra,Junction,Y,Total Injured,0,35
Vadodra,Junction,Y,Total number of Accidents,0,63
Varanasi,Junction,Four arm Junction,Greviously Injured,14,51
Varanasi,Junction,Four arm Junction,Minor Injury,12,49
Varanasi,Junction,Four arm Junction,Persons Killed,20,78
Varanasi,Junction,Four arm Junction,Total Injured,26,21
Varanasi,Junction,Four arm Junction,Total number of Accidents,41,54
Varanasi,Junction,Others,Greviously Injured,127,13
Varanasi,Junction,Others,Minor Injury,59,80
Varanasi,Junction,Others,Persons Killed,135,39
Varanasi,Junction,Others,Total Injured,186,47
Varanasi,Junction,Others,Total number of Accidents,274,66
Varanasi,Junction,Round about Junction,Greviously Injured,6,56
Varanasi,Junction,Round about Junction,Minor Injury,8,26
Varanasi,Junction,Round about Junction,Persons Killed,7,33
Varanasi,Junction,Round about Junction,Total Injured,14,72
Varanasi,Junction,Round about Junction,Total number of Accidents,16,34
Varanasi,Junction,Staggered Junction,Greviously Injured,8,44
Varanasi,Junction,Staggered Junction,Minor Injury,11,77
Varanasi,Junction,Staggered Junction,Persons Killed,11,56
Varanasi,Junction,Staggered Junction,Total Injured,19,61
Varanasi,Junction,Staggered Junction,Total number of Accidents,24,59
Varanasi,Junction,T,Greviously Injured,16,74
Varanasi,Junction,T,Minor Injury,19,61
Varanasi,Junction,T,Persons Killed,24,81
Varanasi,Junction,T,Total Injured,35,57
Varanasi,Junction,T,Total number of Accidents,55,18
Varanasi,Junction,Y,Greviously Injured,11,59
Varanasi,Junction,Y,Minor Injury,14,79
Varanasi,Junction,Y,Persons Killed,16,76
Varanasi,Junction,Y,Total Injured,25,68
Varanasi,Junction,Y,Total number of Accidents,35,75
Vijaywada city,Junction,Four arm Junction,Greviously Injured,46,58
Vijaywada city,Junction,Four arm Junction,Minor Injury,80,39
Vijaywada city,Junction,Four arm Junction,Persons Killed,33,35
Vijaywada city,Junction,Four arm Junction,Total Injured,126,65
Vijaywada city,Junction,Four arm Junction,Total number of Accidents,143,76
Vijaywada city,Junction,Others,Greviously Injured,195,55
Vijaywada city,Junction,Others,Minor Injury,272,78
Vijaywada city,Junction,Others,Persons Killed,139,53
Vijaywada city,Junction,Others,Total Injured,467,54
Vijaywada city,Junction,Others,Total number of Accidents,500,74
Vijaywada city,Junction,Round about Junction,Greviously Injured,9,22
Vijaywada city,Junction,Round about Junction,Minor Injury,13,77
Vijaywada city,Junction,Round about Junction,Persons Killed,6,45
Vijaywada city,Junction,Round about Junction,Total Injured,22,50
Vijaywada city,Junction,Round about Junction,Total number of Accidents,33,47
Vijaywada city,Junction,Staggered Junction,Greviously Injured,29,34
Vijaywada city,Junction,Staggered Junction,Minor Injury,27,12
Vijaywada city,Junction,Staggered Junction,Persons Killed,20,81
Vijaywada city,Junction,Staggered Junction,Total Injured,56,29
Vijaywada city,Junction,Staggered Junction,Total number of Accidents,68,78
Vijaywada city,Junction,T,Greviously Injured,129,20
Vijaywada city,Junction,T,Minor Injury,157,66
Vijaywada city,Junction,T,Persons Killed,71,84
Vijaywada city,Junction,T,Total Injured,286,23
Vijaywada city,Junction,T,Total number of Accidents,307,27
Vijaywada city,Junction,Y,Greviously Injured,1,25
Vijaywada city,Junction,Y,Minor Injury,19,60
Vijaywada city,Junction,Y,Persons Killed,5,40
Vijaywada city,Junction,Y,Total Injured,20,24
Vijaywada city,Junction,Y,Total number of Accidents,21,67
Vizaq,Junction,Four arm Junction,Greviously Injured,128,31
Vizaq,Junction,Four arm Junction,Minor Injury,47,50
Vizaq,Junction,Four arm Junction,Persons Killed,40,34
Vizaq,Junction,Four arm Junction,Total Injured,175,31
Vizaq,Junction,Four arm Junction,Total number of Accidents,291,30
Vizaq,Junction,Others,Greviously Injured,426,80
Vizaq,Junction,Others,Minor Injury,230,72
Vizaq,Junction,Others,Persons Killed,144,37
Vizaq,Junction,Others,Total Injured,656,46
Vizaq,Junction,Others,Total number of Accidents,956,67
Vizaq,Junction,Round about Junction,Greviously Injured,11,40
Vizaq,Junction,Round about Junction,Minor Injury,10,79
Vizaq,Junction,Round about Junction,Persons Killed,2,85
Vizaq,Junction,Round about Junction,Total Injured,21,66
Vizaq,Junction,Round about Junction,Total number of Accidents,29,49
Vizaq,Junction,Staggered Junction,Greviously Injured,57,77
Vizaq,Junction,Staggered Junction,Minor Injury,27,51
Vizaq,Junction,Staggered Junction,Persons Killed,18,33
Vizaq,Junction,Staggered Junction,Total Injured,84,81
Vizaq,Junction,Staggered Junction,Total number of Accidents,156,85
Vizaq,Junction,T,Greviously Injured,147,39
Vizaq,Junction,T,Minor Injury,69,11
Vizaq,Junction,T,Persons Killed,34,37
Vizaq,Junction,T,Total Injured,216,40
Vizaq,Junction,T,Total number of Accidents,272,80
Vizaq,Junction,Y,Greviously Injured,25,77
Vizaq,Junction,Y,Minor Injury,5,71
Vizaq,Junction,Y,Persons Killed,17,18
Vizaq,Junction,Y,Total Injured,30,21
Vizaq,Junction,Y,Total number of Accidents,61,41
Agra,Traffic Violation,Driving on Wrong side,Greviously Injured,56,47
Agra,Traffic Violation,Driving on Wrong side,Minor Injury,40,62
Agra,Traffic Violation,Driving on Wrong side,Total number of Accidents,98,70
Agra,Traffic Violation,Driving on Wrong side,Persons Killed,51,23
Agra,Traffic Violation,Driving on Wrong side,Total Injured,96,80
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,12,11
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,9,67
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,35,81
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,29,16
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,21,77
Agra,Traffic Violation,Jumping Red Light,Greviously Injured,2,40
Agra,Traffic Violation,Jumping Red Light,Minor Injury,7,45
Agra,Traffic Violation,Jumping Red Light,Total number of Accidents,8,27
Agra,Traffic Violation,Jumping Red Light,Persons Killed,3,53
Agra,Traffic Violation,Jumping Red Light,Total Injured,9,18
Agra,Traffic Violation,Others,Greviously Injured,97,39
Agra,Traffic Violation,Others,Minor Injury,85,19
Agra,Traffic Violation,Others,Total number of Accidents,254,19
Agra,Traffic Violation,Others,Persons Killed,143,16
Agra,Traffic Violation,Others,Total Injured,182,22
Agra,Traffic Violation,Over,Greviously Injured,202,67
Agra,Traffic Violation,Over,Minor Injury,112,24
Agra,Traffic Violation,Over,Total number of Accidents,495,15
Agra,Traffic Violation,Over,Persons Killed,279,17
Agra,Traffic Violation,Over,Total Injured,314,38
Agra,Traffic Violation,Use of Mobile Phone,Greviously Injured,8,17
Agra,Traffic Violation,Use of Mobile Phone,Minor Injury,3,73
Agra,Traffic Violation,Use of Mobile Phone,Total number of Accidents,16,50
Agra,Traffic Violation,Use of Mobile Phone,Persons Killed,9,82
Agra,Traffic Violation,Use of Mobile Phone,Total Injured,11,83
Ahmedabad,Traffic Violation,Driving on Wrong side,Greviously Injured,12,71
Ahmedabad,Traffic Violation,Driving on Wrong side,Minor Injury,2,57
Ahmedabad,Traffic Violation,Driving on Wrong side,Total number of Accidents,18,12
Ahmedabad,Traffic Violation,Driving on Wrong side,Persons Killed,5,26
Ahmedabad,Traffic Violation,Driving on Wrong side,Total Injured,14,12
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,5,78
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,8,39
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,15,30
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,2,35
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,13,79
Ahmedabad,Traffic Violation,Jumping Red Light,Greviously Injured,3,30
Ahmedabad,Traffic Violation,Jumping Red Light,Minor Injury,0,23
Ahmedabad,Traffic Violation,Jumping Red Light,Total number of Accidents,3,49
Ahmedabad,Traffic Violation,Jumping Red Light,Persons Killed,0,83
Ahmedabad,Traffic Violation,Jumping Red Light,Total Injured,3,66
Ahmedabad,Traffic Violation,Others,Greviously Injured,0,57
Ahmedabad,Traffic Violation,Others,Minor Injury,0,53
Ahmedabad,Traffic Violation,Others,Total number of Accidents,0,13
Ahmedabad,Traffic Violation,Others,Persons Killed,0,59
Ahmedabad,Traffic Violation,Others,Total Injured,0,82
Ahmedabad,Traffic Violation,Over,Greviously Injured,456,59
Ahmedabad,Traffic Violation,Over,Minor Injury,300,37
Ahmedabad,Traffic Violation,Over,Total number of Accidents,1149,44
Ahmedabad,Traffic Violation,Over,Persons Killed,333,55
Ahmedabad,Traffic Violation,Over,Total Injured,756,59
Ahmedabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,53
Ahmedabad,Traffic Violation,Use of Mobile Phone,Minor Injury,0,11
Ahmedabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,49
Ahmedabad,Traffic Violation,Use of Mobile Phone,Persons Killed,0,43
Ahmedabad,Traffic Violation,Use of Mobile Phone,Total Injured,0,75
Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Greviously Injured,24,74
Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Minor Injury,105,54
Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Total number of Accidents,205,12
Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Persons Killed,102,24
Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Total Injured,129,83
Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,22,49
Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,106,14
Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,201,84
Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,86,80
Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,128,62
Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Greviously Injured,17,45
Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Minor Injury,119,17
Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Total number of Accidents,214,32
Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Persons Killed,89,28
Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Total Injured,136,57
Allahabad(Prayagraj),Traffic Violation,Others,Greviously Injured,14,56
Allahabad(Prayagraj),Traffic Violation,Others,Minor Injury,65,52
Allahabad(Prayagraj),Traffic Violation,Others,Total number of Accidents,101,78
Allahabad(Prayagraj),Traffic Violation,Others,Persons Killed,38,32
Allahabad(Prayagraj),Traffic Violation,Others,Total Injured,79,24
Allahabad(Prayagraj),Traffic Violation,Over,Greviously Injured,28,52
Allahabad(Prayagraj),Traffic Violation,Over,Minor Injury,134,32
Allahabad(Prayagraj),Traffic Violation,Over,Total number of Accidents,255,81
Allahabad(Prayagraj),Traffic Violation,Over,Persons Killed,109,47
Allahabad(Prayagraj),Traffic Violation,Over,Total Injured,162,37
Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Greviously Injured,16,70
Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Minor Injury,82,68
Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Total number of Accidents,176,55
Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Persons Killed,93,28
Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Total Injured,98,56
Amritsar,Traffic Violation,Driving on Wrong side,Greviously Injured,0,63
Amritsar,Traffic Violation,Driving on Wrong side,Minor Injury,0,42
Amritsar,Traffic Violation,Driving on Wrong side,Total number of Accidents,2,18
Amritsar,Traffic Violation,Driving on Wrong side,Persons Killed,2,11
Amritsar,Traffic Violation,Driving on Wrong side,Total Injured,0,47
Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,4,22
Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0,68
Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,1,26
Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0,71
Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,4,25
Amritsar,Traffic Violation,Jumping Red Light,Greviously Injured,0,32
Amritsar,Traffic Violation,Jumping Red Light,Minor Injury,0,57
Amritsar,Traffic Violation,Jumping Red Light,Total number of Accidents,0,39
Amritsar,Traffic Violation,Jumping Red Light,Persons Killed,0,32
Amritsar,Traffic Violation,Jumping Red Light,Total Injured,0,49
Amritsar,Traffic Violation,Others,Greviously Injured,16,60
Amritsar,Traffic Violation,Others,Minor Injury,9,40
Amritsar,Traffic Violation,Others,Total number of Accidents,42,54
Amritsar,Traffic Violation,Others,Persons Killed,27,68
Amritsar,Traffic Violation,Others,Total Injured,25,63
Amritsar,Traffic Violation,Over,Greviously Injured,18,84
Amritsar,Traffic Violation,Over,Minor Injury,12,31
Amritsar,Traffic Violation,Over,Total number of Accidents,55,16
Amritsar,Traffic Violation,Over,Persons Killed,37,36
Amritsar,Traffic Violation,Over,Total Injured,30,38
Amritsar,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,47
Amritsar,Traffic Violation,Use of Mobile Phone,Minor Injury,0,23
Amritsar,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,32
Amritsar,Traffic Violation,Use of Mobile Phone,Persons Killed,0,28
Amritsar,Traffic Violation,Use of Mobile Phone,Total Injured,0,53
Asansol Durgapur,Traffic Violation,Driving on Wrong side,Greviously Injured,4,86
Asansol Durgapur,Traffic Violation,Driving on Wrong side,Minor Injury,0,74
Asansol Durgapur,Traffic Violation,Driving on Wrong side,Total number of Accidents,1,33
Asansol Durgapur,Traffic Violation,Driving on Wrong side,Persons Killed,2,38
Asansol Durgapur,Traffic Violation,Driving on Wrong side,Total Injured,4,59
Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0,61
Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0,59
Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0,85
Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0,41
Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0,54
Asansol Durgapur,Traffic Violation,Jumping Red Light,Greviously Injured,0,73
Asansol Durgapur,Traffic Violation,Jumping Red Light,Minor Injury,0,83
Asansol Durgapur,Traffic Violation,Jumping Red Light,Total number of Accidents,0,73
Asansol Durgapur,Traffic Violation,Jumping Red Light,Persons Killed,0,25
Asansol Durgapur,Traffic Violation,Jumping Red Light,Total Injured,0,13
Asansol Durgapur,Traffic Violation,Others,Greviously Injured,125,35
Asansol Durgapur,Traffic Violation,Others,Minor Injury,29,19
Asansol Durgapur,Traffic Violation,Others,Total number of Accidents,240,18
Asansol Durgapur,Traffic Violation,Others,Persons Killed,169,43
Asansol Durgapur,Traffic Violation,Others,Total Injured,154,58
Asansol Durgapur,Traffic Violation,Over,Greviously Injured,74,68
Asansol Durgapur,Traffic Violation,Over,Minor Injury,14,60
Asansol Durgapur,Traffic Violation,Over,Total number of Accidents,187,25
Asansol Durgapur,Traffic Violation,Over,Persons Killed,144,20
Asansol Durgapur,Traffic Violation,Over,Total Injured,88,45
Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,24
Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Minor Injury,0,28
Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,36
Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Persons Killed,0,71
Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Total Injured,0,46
Aurangabad,Traffic Violation,Driving on Wrong side,Greviously Injured,5,77
Aurangabad,Traffic Violation,Driving on Wrong side,Minor Injury,2,32
Aurangabad,Traffic Violation,Driving on Wrong side,Total number of Accidents,12,80
Aurangabad,Traffic Violation,Driving on Wrong side,Persons Killed,5,39
Aurangabad,Traffic Violation,Driving on Wrong side,Total Injured,7,12
Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0,55
Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0,39
Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0,72
Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0,40
Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0,44
Aurangabad,Traffic Violation,Jumping Red Light,Greviously Injured,0,11
Aurangabad,Traffic Violation,Jumping Red Light,Minor Injury,0,86
Aurangabad,Traffic Violation,Jumping Red Light,Total number of Accidents,0,32
Aurangabad,Traffic Violation,Jumping Red Light,Persons Killed,0,68
Aurangabad,Traffic Violation,Jumping Red Light,Total Injured,0,78
Aurangabad,Traffic Violation,Others,Greviously Injured,10,19
Aurangabad,Traffic Violation,Others,Minor Injury,3,12
Aurangabad,Traffic Violation,Others,Total number of Accidents,27,86
Aurangabad,Traffic Violation,Others,Persons Killed,20,87
Aurangabad,Traffic Violation,Others,Total Injured,13,61
Aurangabad,Traffic Violation,Over,Greviously Injured,205,35
Aurangabad,Traffic Violation,Over,Minor Injury,68,11
Aurangabad,Traffic Violation,Over,Total number of Accidents,367,42
Aurangabad,Traffic Violation,Over,Persons Killed,111,48
Aurangabad,Traffic Violation,Over,Total Injured,273,54
Aurangabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,67
Aurangabad,Traffic Violation,Use of Mobile Phone,Minor Injury,0,38
Aurangabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,48
Aurangabad,Traffic Violation,Use of Mobile Phone,Persons Killed,0,16
Aurangabad,Traffic Violation,Use of Mobile Phone,Total Injured,0,53
Bengaluru,Traffic Violation,Driving on Wrong side,Greviously Injured,17,33
Bengaluru,Traffic Violation,Driving on Wrong side,Minor Injury,4,47
Bengaluru,Traffic Violation,Driving on Wrong side,Total number of Accidents,26,59
Bengaluru,Traffic Violation,Driving on Wrong side,Persons Killed,1,18
Bengaluru,Traffic Violation,Driving on Wrong side,Total Injured,21,44
Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,10,25
Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,3,67
Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,27,24
Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,11,17
Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,13,23
Bengaluru,Traffic Violation,Jumping Red Light,Greviously Injured,10,46
Bengaluru,Traffic Violation,Jumping Red Light,Minor Injury,5,57
Bengaluru,Traffic Violation,Jumping Red Light,Total number of Accidents,15,85
Bengaluru,Traffic Violation,Jumping Red Light,Persons Killed,2,21
Bengaluru,Traffic Violation,Jumping Red Light,Total Injured,15,69
Bengaluru,Traffic Violation,Others,Greviously Injured,59,23
Bengaluru,Traffic Violation,Others,Minor Injury,77,85
Bengaluru,Traffic Violation,Others,Total number of Accidents,172,23
Bengaluru,Traffic Violation,Others,Persons Killed,36,82
Bengaluru,Traffic Violation,Others,Total Injured,136,21
Bengaluru,Traffic Violation,Over,Greviously Injured,1611,53
Bengaluru,Traffic Violation,Over,Minor Injury,955,42
Bengaluru,Traffic Violation,Over,Total number of Accidents,2993,40
Bengaluru,Traffic Violation,Over,Persons Killed,596,29
Bengaluru,Traffic Violation,Over,Total Injured,2566,82
Bengaluru,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,18
Bengaluru,Traffic Violation,Use of Mobile Phone,Minor Injury,0,18
Bengaluru,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,58
Bengaluru,Traffic Violation,Use of Mobile Phone,Persons Killed,0,71
Bengaluru,Traffic Violation,Use of Mobile Phone,Total Injured,0,57
Bhopal,Traffic Violation,Driving on Wrong side,Greviously Injured,0,73
Bhopal,Traffic Violation,Driving on Wrong side,Minor Injury,0,15
Bhopal,Traffic Violation,Driving on Wrong side,Total number of Accidents,0,50
Bhopal,Traffic Violation,Driving on Wrong side,Persons Killed,0,61
Bhopal,Traffic Violation,Driving on Wrong side,Total Injured,0,82
Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0,73
Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0,27
Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0,30
Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0,17
Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0,24
Bhopal,Traffic Violation,Jumping Red Light,Greviously Injured,0,86
Bhopal,Traffic Violation,Jumping Red Light,Minor Injury,0,80
Bhopal,Traffic Violation,Jumping Red Light,Total number of Accidents,0,45
Bhopal,Traffic Violation,Jumping Red Light,Persons Killed,0,78
Bhopal,Traffic Violation,Jumping Red Light,Total Injured,0,71
Bhopal,Traffic Violation,Others,Greviously Injured,39,66
Bhopal,Traffic Violation,Others,Minor Injury,247,37
Bhopal,Traffic Violation,Others,Total number of Accidents,405,33
Bhopal,Traffic Violation,Others,Persons Killed,80,13
Bhopal,Traffic Violation,Others,Total Injured,286,42
Bhopal,Traffic Violation,Over,Greviously Injured,147,17
Bhopal,Traffic Violation,Over,Minor Injury,1374,36
Bhopal,Traffic Violation,Over,Total number of Accidents,1890,75
Bhopal,Traffic Violation,Over,Persons Killed,157,69
Bhopal,Traffic Violation,Over,Total Injured,1521,59
Bhopal,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,78
Bhopal,Traffic Violation,Use of Mobile Phone,Minor Injury,0,71
Bhopal,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,85
Bhopal,Traffic Violation,Use of Mobile Phone,Persons Killed,0,51
Bhopal,Traffic Violation,Use of Mobile Phone,Total Injured,0,52
Chandigarh,Traffic Violation,Driving on Wrong side,Greviously Injured,0,76
Chandigarh,Traffic Violation,Driving on Wrong side,Minor Injury,4,67
Chandigarh,Traffic Violation,Driving on Wrong side,Total number of Accidents,3,73
Chandigarh,Traffic Violation,Driving on Wrong side,Persons Killed,1,27
Chandigarh,Traffic Violation,Driving on Wrong side,Total Injured,4,62
Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0,51
Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,3,22
Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,5,11
Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,1,55
Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,3,53
Chandigarh,Traffic Violation,Jumping Red Light,Greviously Injured,0,52
Chandigarh,Traffic Violation,Jumping Red Light,Minor Injury,2,83
Chandigarh,Traffic Violation,Jumping Red Light,Total number of Accidents,4,45
Chandigarh,Traffic Violation,Jumping Red Light,Persons Killed,1,59
Chandigarh,Traffic Violation,Jumping Red Light,Total Injured,2,32
Chandigarh,Traffic Violation,Others,Greviously Injured,0,19
Chandigarh,Traffic Violation,Others,Minor Injury,0,33
Chandigarh,Traffic Violation,Others,Total number of Accidents,0,48
Chandigarh,Traffic Violation,Others,Persons Killed,0,11
Chandigarh,Traffic Violation,Others,Total Injured,0,38
Chandigarh,Traffic Violation,Over,Greviously Injured,14,41
Chandigarh,Traffic Violation,Over,Minor Injury,125,48
Chandigarh,Traffic Violation,Over,Total number of Accidents,147,43
Chandigarh,Traffic Violation,Over,Persons Killed,50,37
Chandigarh,Traffic Violation,Over,Total Injured,139,28
Chandigarh,Traffic Violation,Use of Mobile Phone,Greviously Injured,0,56
Chandigarh,Traffic Violation,Use of Mobile Phone,Minor Injury,0,49
Chandigarh,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0,45
Chandigarh,Traffic Violation,Use of Mobile Phone,Persons Killed,0,31
Chandigarh,Traffic Violation,Use of Mobile Phone,Total Injured,0,84
Chennai,Traffic Violation,Driving on Wrong side,Greviously Injured,79,41
Chennai,Traffic Violation,Driving on Wrong side,Minor Injury,265,50
Chennai,Traffic Violation,Driving on Wrong side,Total number of Accidents,260,37
Chennai,Traffic Violation,Driving on Wrong side,Persons Killed,10,29
Chennai,Traffic Violation,Driving on Wrong side,Total Injured,344,59
Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,56,30
Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,287,24
Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,284,37
Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,19,72
Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,343,82
Chennai,Traffic Violation,Jumping Red Light,Greviously Injured,129,60
Chennai,Traffic Violation,Jumping Red Light,Minor Injury,249,17
Chennai,Traffic Violation,Jumping Red Light,Total number of Accidents,289,54
Chennai,Traffic Violation,Jumping Red Light,Persons Killed,14,24
Chennai,Traffic Violation,Jumping Red Light,Total Injured,378,61
Chennai,Traffic Violation,Others,Greviously Injured,92,24
Chennai,Traffic Violation,Others,Minor Injury,415,21
Chennai,Traffic Violation,Others,Total number of Accidents,511,17
Chennai,Traffic Violation,Others,Persons Killed,151,29
Chennai,Traffic Violation,Others,Total Injured,507,65
Chennai,Traffic Violation,Over,Greviously Injured,474,33
Chennai,Traffic Violation,Over,Minor Injury,1937,13
Chennai,Traffic Violation,Over,Total number of Accidents,2839,24
Chennai,Traffic Violation,Over,Persons Killed,672,45
Chennai,Traffic Violation,Over,Total Injured,2411,51
Chennai,Traffic Violation,Use of Mobile Phone,Greviously Injured,111,24
Chennai,Traffic Violation,Use of Mobile Phone,Minor Injury,169,19
