Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Minor Injury,61,58
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Persons Killed,45,44
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total Injured,83,49
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total number of Accidents,124,71
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Greviously Injured,22,73
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Minor Injury,56,31
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Persons Killed,43,41
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total Injured,78,48
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total number of Accidents,119,85
Amritsar,Traffic Control,Flashing Signal/Blinker,Greviously Injured,5,23
Amritsar,Traffic Control,Flashing Signal/Blinker,Minor Injury,7,32
Amritsar,Traffic Control,Flashing Signal/Blinker,Persons Killed,13,64
Amritsar,Traffic Control,Flashing Signal/Blinker,Total Injured,12,33
Amritsar,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0,62
Amritsar,Traffic Control,Others,Greviously Injured,19,31
Amritsar,Traffic Control,Others,Minor Injury,8,11
Amritsar,Traffic Control,Others,Persons Killed,29,25
Amritsar,Traffic Control,Others,Total Injured,27,69
Amritsar,Traffic Control,Others,Total number of Accidents,44,14
Amritsar,Traffic Control,Police Controlled,Greviously Injured,0,28
Amritsar,Traffic Control,Police Controlled,Minor Injury,0,27
Amritsar,Traffic Control,Police Controlled,Persons Killed,2,33
Amritsar,Traffic Control,Police Controlled,Total Injured,0,71
Amritsar,Traffic Control,Police Controlled,Total number of Accidents,0,53
Amritsar,Traffic Control,Stop Sign,Greviously Injured,7,19
Amritsar,Traffic Control,Stop Sign,Minor Injury,1,15
Amritsar,Traffic Control,Stop Sign,Persons Killed,6,44
Amritsar,Traffic Control,Stop Sign,Total Injured,8,43
Amritsar,Traffic Control,Stop Sign,Total number of Accidents,0,70
Amritsar,Traffic Control,Traffic Light Signal,Greviously Injured,6,85
Amritsar,Traffic Control,Traffic Light Signal,Minor Injury,4,72
Amritsar,Traffic Control,Traffic Light Signal,Persons Killed,10,43
Amritsar,Traffic Control,Traffic Light Signal,Total Injured,10,47
Amritsar,Traffic Control,Traffic Light Signal,Total number of Accidents,1,15
Amritsar,Traffic Control,Uncontrolled,Greviously Injured,1,31
Amritsar,Traffic Control,Uncontrolled,Minor Injury,1,55
Amritsar,Traffic Control,Uncontrolled,Persons Killed,6,65
Amritsar,Traffic Control,Uncontrolled,Total Injured,2,21
Amritsar,Traffic Control,Uncontrolled,Total number of Accidents,55,14
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0,62
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Minor Injury,0,79
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Persons Killed,0,37
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total Injured,0,51
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0,25
Asansol Durgapur,Traffic Control,Others,Greviously Injured,183,67
Asansol Durgapur,Traffic Control,Others,Minor Injury,41,53
Asansol Durgapur,Traffic Control,Others,Persons Killed,299,19
Asansol Durgapur,Traffic Control,Others,Total Injured,224,77
Asansol Durgapur,Traffic Control,Others,Total number of Accidents,401,66
Asansol Durgapur,Traffic Control,Police Controlled,Greviously Injured,2,83
Asansol Durgapur,Traffic Control,Police Controlled,Minor Injury,0,24
Asansol Durgapur,Traffic Control,Police Controlled,Persons Killed,6,54
Asansol Durgapur,Traffic Control,Police Controlled,Total Injured,2,22
Asansol Durgapur,Traffic Control,Police Controlled,Total number of Accidents,7,70
Asansol Durgapur,Traffic Control,Stop Sign,Greviously Injured,1,71
Asansol Durgapur,Traffic Control,Stop Sign,Minor Injury,0,39
Asansol Durgapur,Traffic Control,Stop Sign,Persons Killed,1,74
Asansol Durgapur,Traffic Control,Stop Sign,Total Injured,1,86
Asansol Durgapur,Traffic Control,Stop Sign,Total number of Accidents,2,12
Asansol Durgapur,Traffic Control,Traffic Light Signal,Greviously Injured,0,70
Asansol Durgapur,Traffic Control,Traffic Light Signal,Minor Injury,0,28
Asansol Durgapur,Traffic Control,Traffic Light Signal,Persons Killed,1,73
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total Injured,0,46
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total number of Accidents,1,49
Asansol Durgapur,Traffic Control,Uncontrolled,Greviously Injured,17,66
Asansol Durgapur,Traffic Control,Uncontrolled,Minor Injury,2,32
Asansol Durgapur,Traffic Control,Uncontrolled,Persons Killed,8,42
Asansol Durgapur,Traffic Control,Uncontrolled,Total Injured,19,42
Asansol Durgapur,Traffic Control,Uncontrolled,Total number of Accidents,17,30
Aurangabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0,18
Aurangabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,0,83
